d,v
1997-04-08,24233
1997-04-09,24271
1997-04-10,24277
1997-04-11,24532
1997-04-14,24508
1997-04-15,24522
1997-04-16,24584
1997-04-17,24549
1997-04-18,24457
1997-04-21,24344
1997-04-22,24316
1997-04-23,24415
1997-04-24,24188
1997-04-25,24052
1997-04-28,24095
1997-04-29,23996
1997-04-30,24028
1997-05-02,24271
1997-05-05,24123
1997-05-06,24002
1997-05-07,24330
1997-05-08,24231
1997-05-09,24669
1997-05-12,24698
1997-05-13,24932
1997-05-14,25307
1997-05-15,24736
1997-05-16,25207
1997-05-19,25092
1997-05-20,25355
1997-05-21,25594
1997-05-22,25546
1997-05-23,25751
1997-05-26,25829
1997-05-27,26479
1997-05-28,26326
1997-05-29,26197
1997-05-30,26007
1997-06-02,26017
1997-06-03,25998
1997-06-04,26007
1997-06-05,25907
1997-06-06,25909
1997-06-10,25778
1997-06-11,25919
1997-06-12,25857
1997-06-13,25751
1997-06-17,25502
1997-06-18,25375
1997-06-19,25142
1997-06-20,25447
1997-06-23,25099
1997-06-24,25494
1997-06-25,25912
1997-06-26,26087
1997-06-27,26437
1997-06-30,25862
1997-07-01,26624
1997-07-02,26392
1997-07-03,26792
1997-07-04,26713
1997-07-07,26487
1997-07-08,26283
1997-07-10,26639
1997-07-11,26485
1997-07-14,26309
1997-07-15,26141
1997-07-16,26023
1997-07-17,26145
1997-07-18,26257
1997-07-21,26644
1997-07-22,26742
1997-07-23,27100
1997-07-24,27183
1997-07-25,27212
1997-07-28,26907
1997-07-29,26873
1997-07-30,27070
1997-07-31,26863
1997-08-01,26836
1997-08-04,27314
1997-08-05,27345
1997-08-06,27463
1997-08-07,27274
1997-08-08,27309
1997-08-11,27469
1997-08-12,27545
1997-08-13,27655
1997-08-14,27667
1997-08-15,27593
1997-08-19,27546
1997-08-20,27682
1997-08-21,27999
1997-08-22,28128
1997-08-25,28197
1997-08-26,28180
1997-08-27,28192
1997-08-28,28271
1997-08-29,27879
1997-09-01,28044
1997-09-02,27632
1997-09-03,27483
1997-09-04,27703
1997-09-05,27734
1997-09-08,27387
1997-09-09,27469
1997-09-10,27364
1997-09-11,27435
1997-09-12,27692
1997-09-15,27374
1997-09-16,27111
1997-09-17,27316
1997-09-18,27076
1997-09-19,27077
1997-09-22,27230
1997-09-23,27134
1997-09-24,27284
1997-09-25,27890
1997-09-26,28029
1997-09-29,26812
1997-09-30,26521
1997-10-01,27019
1997-10-02,26976
1997-10-03,26984
1997-10-06,27316
1997-10-07,27163
1997-10-08,27259
1997-10-09,27450
1997-10-10,27549
1997-10-13,27682
1997-10-14,27547
1997-10-15,27414
1997-10-16,27619
1997-10-17,27859
1997-10-20,27798
1997-10-21,28141
1997-10-22,28003
1997-10-23,28101
1997-10-24,28183
1997-10-27,27981
1997-10-28,27590
1997-10-29,27451
1997-10-30,27692
1997-10-31,27591
1997-11-03,28000
1997-11-04,28192
1997-11-05,28526
1997-11-06,28981
1997-11-07,29045
1997-11-10,28944
1997-11-11,28873
1997-11-12,28739
1997-11-13,28757
1997-11-14,28669
1997-11-17,28542
1997-11-18,28350
1997-11-19,28371
1997-11-20,28350
1997-11-21,28061
1997-11-24,27990
1997-11-25,27628
1997-11-26,27429
1997-11-27,27471
1997-11-28,27331
1997-12-01,27536
1997-12-02,28200
1997-12-03,28315
1997-12-04,28440
1997-12-05,28632
1997-12-09,28476
1997-12-10,28475
1997-12-11,28670
1997-12-12,28771
1997-12-15,28467
1997-12-16,29354
1997-12-17,29325
1997-12-18,29555
1997-12-19,30129
1997-12-22,30192
1997-12-23,30337
1997-12-24,30478
1997-12-26,30453
1997-12-29,29799
1997-12-31,29769
1998-01-02,29628
1998-01-05,30175
1998-01-06,30318
1998-01-07,30321
1998-01-08,30121
1998-01-09,29950
1998-01-12,29960
1998-01-13,30190
1998-01-14,30677
1998-01-15,30437
1998-01-16,30646
1998-01-19,30477
1998-01-20,29675
1998-01-21,29539
1998-01-22,29177
1998-01-23,28930
1998-01-26,28772
1998-01-27,28918
1998-01-28,28879
1998-01-29,28494
1998-01-30,27914
1998-02-02,28617
1998-02-03,29178
1998-02-04,29970
1998-02-05,29998
1998-02-06,29905
1998-02-09,29866
1998-02-10,30387
1998-02-11,30258
1998-02-12,30344
1998-02-13,30164
1998-02-16,30206
1998-02-17,30059
1998-02-18,30294
1998-02-19,30362
1998-02-20,30647
1998-02-23,30622
1998-02-24,30572
1998-02-25,30603
1998-02-26,31513
1998-02-27,31325
1998-03-02,30825
1998-03-03,30643
1998-03-04,30652
1998-03-05,30867
1998-03-06,30716
1998-03-09,30509
1998-03-10,30267
1998-03-11,30257
1998-03-12,30571
1998-03-13,30644
1998-03-16,30122
1998-03-17,30155
1998-03-18,29992
1998-03-19,30830
1998-03-20,30864
1998-03-23,30635
1998-03-24,30600
1998-03-25,30464
1998-03-26,30556
1998-03-27,30839
1998-03-30,30202
1998-03-31,29993
1998-04-01,30870
1998-04-02,30860
1998-04-03,30375
1998-04-06,30171
1998-04-07,30409
1998-04-08,29955
1998-04-13,30725
1998-04-14,30546
1998-04-15,30549
1998-04-16,30680
1998-04-17,30845
1998-04-20,30700
1998-04-21,31520
1998-04-22,31354
1998-04-23,30233
1998-04-24,30339
1998-04-27,30293
1998-04-28,30373
1998-04-29,30190
1998-04-30,29941
1998-05-04,30905
1998-05-05,31065
1998-05-06,31056
1998-05-07,31174
1998-05-08,31385
1998-05-11,31577
1998-05-12,31465
1998-05-13,31519
1998-05-14,31329
1998-05-15,31336
1998-05-18,30934
1998-05-19,30868
1998-05-20,31164
1998-05-21,31178
1998-05-22,31535
1998-05-26,31880
1998-05-27,31628
1998-05-28,31782
1998-05-29,30462
1998-06-01,31266
1998-06-02,31486
1998-06-03,31523
1998-06-04,31903
1998-06-05,32043
1998-06-09,32082
1998-06-10,32041
1998-06-11,32315
1998-06-12,32306
1998-06-16,32065
1998-06-17,32091
1998-06-18,32124
1998-06-19,32175
1998-06-22,31839
1998-06-23,31667
1998-06-24,31900
1998-06-25,31261
1998-06-26,30980
1998-06-29,30980
1998-06-30,30919
1998-07-01,32140
1998-07-02,32459
1998-07-03,32444
1998-07-06,33259
1998-07-07,33374
1998-07-08,33811
1998-07-10,33859
1998-07-13,33923
1998-07-14,33623
1998-07-15,33523
1998-07-16,33685
1998-07-17,33808
1998-07-20,33516
1998-07-21,34030
1998-07-22,33908
1998-07-23,34220
1998-07-24,34572
1998-07-27,34500
1998-07-28,33907
1998-07-29,34139
1998-07-30,34397
1998-07-31,33513
1998-08-03,34140
1998-08-04,34198
1998-08-05,34712
1998-08-06,34849
1998-08-07,34808
1998-08-10,34437
1998-08-11,34354
1998-08-12,34328
1998-08-13,32927
1998-08-14,32812
1998-08-18,32764
1998-08-19,32681
1998-08-20,32623
1998-08-21,32804
1998-08-24,32921
1998-08-25,32776
1998-08-26,32635
1998-08-27,32462
1998-08-28,32499
1998-08-31,31766
1998-09-01,32496
1998-09-02,32622
1998-09-03,32443
1998-09-04,32456
1998-09-07,32484
1998-09-08,31918
1998-09-09,32172
1998-09-10,31944
1998-09-11,31994
1998-09-14,31881
1998-09-15,31537
1998-09-16,31428
1998-09-17,31791
1998-09-18,31545
1998-09-21,31508
1998-09-22,31649
1998-09-23,31706
1998-09-24,31619
1998-09-25,32226
1998-09-28,32118
1998-09-29,31556
1998-09-30,30716
1998-10-01,31164
1998-10-02,31425
1998-10-05,31463
1998-10-06,31429
1998-10-07,31591
1998-10-08,31446
1998-10-09,31518
1998-10-13,31524
1998-10-14,31554
1998-10-15,31248
1998-10-16,31137
1998-10-19,31026
1998-10-20,31183
1998-10-21,31065
1998-10-22,30944
1998-10-23,31462
1998-10-26,31286
1998-10-27,31011
1998-10-28,30873
1998-10-29,30647
1998-10-30,30283
1998-11-02,30801
1998-11-03,30907
1998-11-04,30990
1998-11-05,30798
1998-11-06,31002
1998-11-09,30885
1998-11-10,30971
1998-11-11,30897
1998-11-12,30902
1998-11-13,30930
1998-11-16,31138
1998-11-17,32234
1998-11-18,32358
1998-11-19,31142
1998-11-20,31230
1998-11-23,31152
1998-11-24,31188
1998-11-25,31621
1998-11-26,31621
1998-11-27,31059
1998-11-30,30468
1998-12-01,31303
1998-12-02,31646
1998-12-03,31667
1998-12-04,32758
1998-12-07,32897
1998-12-09,32771
1998-12-10,32939
1998-12-11,34085
1998-12-14,32752
1998-12-15,32848
1998-12-16,32891
1998-12-17,33125
1998-12-18,32962
1998-12-21,32752
1998-12-22,32540
1998-12-23,33890
1998-12-24,33636
1998-12-28,33128
1998-12-29,32508
1998-12-30,31736
1999-01-04,32947
1999-01-05,33043
1999-01-06,33130
1999-01-07,33555
1999-01-08,33555
1999-01-11,33482
1999-01-12,33564
1999-01-13,33562
1999-01-14,33587
1999-01-15,33009
1999-01-18,33016
1999-01-19,32953
1999-01-20,32963
1999-01-21,33052
1999-01-22,33084
1999-01-25,32982
1999-01-26,32987
1999-01-27,32763
1999-01-28,32719
1999-01-29,30931
1999-02-01,31893
1999-02-02,32086
1999-02-03,33816
1999-02-04,33865
1999-02-05,33782
1999-02-08,33832
1999-02-09,33736
1999-02-10,33881
1999-02-11,33844
1999-02-12,33593
1999-02-15,33611
1999-02-16,33383
1999-02-17,33276
1999-02-18,33549
1999-02-19,33454
1999-02-22,33042
1999-02-23,32718
1999-02-24,32320
1999-02-25,33368
1999-02-26,33342
1999-03-01,33969
1999-03-02,34046
1999-03-03,33872
1999-03-04,34126
1999-03-05,34224
1999-03-08,34115
1999-03-09,33774
1999-03-10,33803
1999-03-11,33653
1999-03-12,33585
1999-03-15,33629
1999-03-16,33469
1999-03-17,33460
1999-03-18,33271
1999-03-19,33555
1999-03-22,33600
1999-03-23,33266
1999-03-24,33371
1999-03-25,33517
1999-03-26,33726
1999-03-29,32762
1999-03-30,32054
1999-03-31,31725
1999-04-05,32727
1999-04-06,33108
1999-04-07,34165
1999-04-08,33997
1999-04-09,33885
1999-04-12,33683
1999-04-13,33822
1999-04-14,33452
1999-04-15,33210
1999-04-16,32968
1999-04-19,32830
1999-04-20,32388
1999-04-21,32438
1999-04-22,32356
1999-04-23,31025
1999-04-26,31251
1999-04-27,31031
1999-04-28,30873
1999-04-29,30801
1999-04-30,30522
1999-05-03,31410
1999-05-04,31644
1999-05-05,31160
1999-05-06,31293
1999-05-07,31492
1999-05-10,31445
1999-05-11,31670
1999-05-12,32012
1999-05-13,32077
1999-05-14,32238
1999-05-17,32251
1999-05-18,31957
1999-05-19,31814
1999-05-20,31565
1999-05-21,31433
1999-05-24,31406
1999-05-26,32126
1999-05-27,32251
1999-05-28,31379
1999-05-31,31403
1999-06-01,32141
1999-06-02,32008
1999-06-03,31842
1999-06-04,32012
1999-06-07,30921
1999-06-08,30777
1999-06-09,30753
1999-06-10,30975
1999-06-11,30986
1999-06-15,31174
1999-06-16,31270
1999-06-17,31445
1999-06-18,31402
1999-06-22,31335
1999-06-23,31333
1999-06-24,31555
1999-06-25,31528
1999-06-28,32413
1999-06-29,31949
1999-06-30,32192
1999-07-01,33523
1999-07-02,33940
1999-07-05,33976
1999-07-06,33740
1999-07-07,33705
1999-07-08,33881
1999-07-12,33960
1999-07-13,33029
1999-07-14,33315
1999-07-15,33122
1999-07-16,33312
1999-07-19,33393
1999-07-20,33400
1999-07-21,33056
1999-07-22,33106
1999-07-23,33079
1999-07-26,32971
1999-07-27,32952
1999-07-28,33268
1999-07-29,32897
1999-07-30,31933
1999-08-02,33143
1999-08-03,33328
1999-08-04,33249
1999-08-05,33193
1999-08-06,33538
1999-08-09,33311
1999-08-10,33250
1999-08-11,33845
1999-08-12,33884
1999-08-13,33224
1999-08-17,33022
1999-08-18,33067
1999-08-19,33106
1999-08-20,32040
1999-08-23,31811
1999-08-24,31490
1999-08-25,31441
1999-08-26,31337
1999-08-27,31149
1999-08-30,30518
1999-08-31,30856
1999-09-01,31606
1999-09-02,31701
1999-09-03,32176
1999-09-06,32208
1999-09-07,32021
1999-09-08,32068
1999-09-09,32260
1999-09-10,32416
1999-09-13,32189
1999-09-14,32111
1999-09-15,31691
1999-09-16,31762
1999-09-17,32384
1999-09-20,32399
1999-09-21,32423
1999-09-22,32494
1999-09-23,32887
1999-09-24,33190
1999-09-27,33349
1999-09-28,33271
1999-09-29,32563
1999-09-30,32084
1999-10-01,32909
1999-10-04,32785
1999-10-05,33061
1999-10-06,32859
1999-10-07,32831
1999-10-08,32503
1999-10-12,32339
1999-10-13,32285
1999-10-14,32505
1999-10-15,33300
1999-10-18,33363
1999-10-19,32919
1999-10-20,32287
1999-10-21,33448
1999-10-22,33365
1999-10-25,33494
1999-10-26,33763
1999-10-27,33705
1999-10-28,33163
1999-10-29,32041
1999-11-01,32686
1999-11-02,33229
1999-11-03,33241
1999-11-04,33253
1999-11-05,33372
1999-11-08,33215
1999-11-09,33629
1999-11-10,33570
1999-11-11,33563
1999-11-12,33848
1999-11-15,33407
1999-11-16,33554
1999-11-17,33373
1999-11-18,33426
1999-11-19,33419
1999-11-22,33703
1999-11-23,33770
1999-11-24,33571
1999-11-25,33551
1999-11-26,33744
1999-11-29,32898
1999-11-30,32427
1999-12-01,33332
1999-12-02,33604
1999-12-03,33687
1999-12-06,33726
1999-12-07,33955
1999-12-09,34071
1999-12-10,34169
1999-12-13,33720
1999-12-14,33777
1999-12-15,33834
1999-12-16,33979
1999-12-17,34074
1999-12-20,34032
1999-12-21,34407
1999-12-22,34481
1999-12-23,34435
1999-12-24,34526
1999-12-27,34172
1999-12-28,33739
1999-12-29,33230
1999-12-31,33100
2000-01-03,33070
2000-01-04,33075
2000-01-05,32657
2000-01-06,32537
2000-01-07,32126
2000-01-10,32098
2000-01-11,32190
2000-01-12,32326
2000-01-13,32199
2000-01-14,32073
2000-01-17,32017
2000-01-18,31891
2000-01-19,31899
2000-01-20,31974
2000-01-21,31782
2000-01-24,31661
2000-01-25,31829
2000-01-26,32478
2000-01-27,32508
2000-01-28,32365
2000-01-31,31100
2000-02-01,32762
2000-02-02,32432
2000-02-03,33436
2000-02-04,33671
2000-02-07,33626
2000-02-08,33768
2000-02-09,33960
2000-02-10,34123
2000-02-11,34615
2000-02-14,34239
2000-02-15,33267
2000-02-16,33415
2000-02-17,33378
2000-02-18,33432
2000-02-21,33438
2000-02-22,32889
2000-02-23,32846
2000-02-24,32761
2000-02-25,32869
2000-02-28,32569
2000-02-29,32255
2000-03-01,33162
2000-03-02,33231
2000-03-03,33655
2000-03-06,33585
2000-03-07,33341
2000-03-08,33161
2000-03-09,33222
2000-03-10,33413
2000-03-13,33239
2000-03-14,34297
2000-03-15,33905
2000-03-16,34744
2000-03-17,34361
2000-03-20,34190
2000-03-21,34175
2000-03-22,34052
2000-03-23,33960
2000-03-24,33940
2000-03-27,34059
2000-03-28,33768
2000-03-29,33439
2000-03-30,32189
2000-03-31,32976
2000-04-03,33490
2000-04-04,33616
2000-04-05,34178
2000-04-06,33874
2000-04-07,33915
2000-04-10,33602
2000-04-11,33890
2000-04-12,33886
2000-04-13,33826
2000-04-14,33774
2000-04-17,33587
2000-04-18,33429
2000-04-19,33574
2000-04-24,33003
2000-04-25,31729
2000-04-26,31625
2000-04-27,31329
2000-04-28,31182
2000-05-02,32415
2000-05-03,32659
2000-05-04,32493
2000-05-05,32813
2000-05-08,32429
2000-05-09,32765
2000-05-10,32679
2000-05-11,33032
2000-05-12,33011
2000-05-15,32755
2000-05-16,32570
2000-05-17,32579
2000-05-18,32417
2000-05-19,32524
2000-05-22,32308
2000-05-23,32166
2000-05-24,32534
2000-05-26,32680
2000-05-29,32703
2000-05-30,31113
2000-05-31,30601
2000-06-01,32298
2000-06-02,32354
2000-06-05,32100
2000-06-06,32102
2000-06-07,32168
2000-06-08,32364
2000-06-09,32410
2000-06-12,32518
2000-06-13,32419
2000-06-14,32708
2000-06-15,32852
2000-06-16,32769
2000-06-20,33996
2000-06-21,34257
2000-06-22,34113
2000-06-23,34132
2000-06-26,33994
2000-06-27,33834
2000-06-28,34662
2000-06-29,34638
2000-06-30,34355
2000-07-03,35187
2000-07-04,35204
2000-07-05,35156
2000-07-06,35170
2000-07-07,35266
2000-07-10,34994
2000-07-11,35165
2000-07-12,35137
2000-07-13,35207
2000-07-14,35818
2000-07-17,35944
2000-07-18,36068
2000-07-19,36282
2000-07-20,36508
2000-07-21,37283
2000-07-24,34258
2000-07-25,34312
2000-07-26,34168
2000-07-27,34187
2000-07-28,34068
2000-07-31,33845
2000-08-01,34495
2000-08-02,34643
2000-08-03,34564
2000-08-04,34295
2000-08-07,34267
2000-08-08,33979
2000-08-09,33874
2000-08-10,33780
2000-08-11,33468
2000-08-14,33441
2000-08-15,33483
2000-08-16,33534
2000-08-17,33679
2000-08-18,33121
2000-08-22,33284
2000-08-23,33429
2000-08-24,33193
2000-08-25,32678
2000-08-28,32819
2000-08-29,32007
2000-08-30,32062
2000-08-31,31831
2000-09-01,32574
2000-09-04,32589
2000-09-05,32839
2000-09-06,32976
2000-09-07,32967
2000-09-08,33331
2000-09-11,33739
2000-09-12,33607
2000-09-13,33620
2000-09-14,33632
2000-09-15,33022
2000-09-18,32953
2000-09-19,33216
2000-09-20,33460
2000-09-21,33956
2000-09-22,34139
2000-09-25,33922
2000-09-26,34674
2000-09-27,34950
2000-09-28,33879
2000-09-29,33219
2000-10-02,33555
2000-10-03,34352
2000-10-04,34589
2000-10-05,34592
2000-10-06,34750
2000-10-09,34735
2000-10-10,34216
2000-10-11,34149
2000-10-12,34390
2000-10-13,33926
2000-10-17,33572
2000-10-18,33663
2000-10-19,33611
2000-10-20,33535
2000-10-23,33253
2000-10-24,33114
2000-10-25,32828
2000-10-26,32702
2000-10-27,32798
2000-10-30,32103
2000-10-31,31751
2000-11-01,32806
2000-11-02,33108
2000-11-03,33289
2000-11-07,33232
2000-11-08,33166
2000-11-09,32957
2000-11-10,31927
2000-11-13,31750
2000-11-14,31415
2000-11-15,31013
2000-11-16,30939
2000-11-17,30835
2000-11-20,30691
2000-11-21,30922
2000-11-22,30802
2000-11-23,30811
2000-11-24,29946
2000-11-27,29777
2000-11-28,29703
2000-11-29,29377
2000-11-30,29571
2000-12-01,30222
2000-12-04,30293
2000-12-05,30772
2000-12-06,31090
2000-12-07,31284
2000-12-11,31440
2000-12-12,31251
2000-12-13,31935
2000-12-14,32149
2000-12-15,31930
2000-12-18,31941
2000-12-19,31928
2000-12-20,32080
2000-12-21,34283
2000-12-22,34654
2000-12-26,34698
2000-12-27,34627
2000-12-31,34234
2001-01-02,34591
2001-01-03,34574
2001-01-04,34583
2001-01-05,34578
2001-01-08,34753
2001-01-09,34838
2001-01-10,34902
2001-01-11,34587
2001-01-12,34878
2001-01-15,34884
2001-01-16,34432
2001-01-17,34533
2001-01-18,37380
2001-01-19,37249
2001-01-22,36864
2001-01-23,36835
2001-01-24,36791
2001-01-25,36807
2001-01-26,36749
2001-01-29,36631
2001-01-30,36131
2001-01-31,36153
2001-02-01,37086
2001-02-02,37194
2001-02-05,37034
2001-02-06,36992
2001-02-07,33764
2001-02-08,33708
2001-02-09,33776
2001-02-12,33777
2001-02-13,33598
2001-02-14,33557
2001-02-15,33484
2001-02-16,33551
2001-02-19,33550
2001-02-20,33401
2001-02-21,33359
2001-02-22,33554
2001-02-23,33879
2001-02-26,33622
2001-02-27,33301
2001-02-28,33219
2001-03-01,35286
2001-03-02,35375
2001-03-05,34708
2001-03-06,35001
2001-03-07,34773
2001-03-08,34448
2001-03-09,34353
2001-03-12,34343
2001-03-13,34222
2001-03-14,34123
2001-03-15,33698
2001-03-16,32914
2001-03-19,32320
2001-03-20,31999
2001-03-21,31660
2001-03-22,31363
2001-03-23,30902
2001-03-26,30215
2001-03-27,30241
2001-03-28,30143
2001-03-29,29317
2001-03-30,29812
2001-04-03,29891
2001-04-04,30142
2001-04-05,29969
2001-04-06,30090
2001-04-09,29671
2001-04-10,30541
2001-04-11,30502
2001-04-16,28342
2001-04-17,28308
2001-04-18,28446
2001-04-19,28319
2001-04-20,28165
2001-04-23,27696
2001-04-24,27447
2001-04-25,27155
2001-04-26,27426
2001-04-27,27083
2001-04-30,26464
2001-05-02,26902
2001-05-03,27185
2001-05-04,27038
2001-05-07,26814
2001-05-08,26958
2001-05-09,26750
2001-05-10,25902
2001-05-11,26854
2001-05-14,27213
2001-05-15,26772
2001-05-16,26765
2001-05-17,26678
2001-05-18,26648
2001-05-21,26275
2001-05-22,26163
2001-05-23,27182
2001-05-24,26147
2001-05-28,26109
2001-05-29,26201
2001-05-30,25761
2001-05-31,25570
2001-06-01,26253
2001-06-04,26542
2001-06-05,26414
2001-06-06,26521
2001-06-07,26603
2001-06-08,26723
2001-06-11,26593
2001-06-12,26338
2001-06-13,26415
2001-06-14,26273
2001-06-15,26045
2001-06-19,25319
2001-06-20,26167
2001-06-21,26112
2001-06-22,26495
2001-06-25,26429
2001-06-26,26610
2001-06-27,26914
2001-06-28,27357
2001-06-29,27266
2001-07-02,27506
2001-07-03,27639
2001-07-04,27556
2001-07-05,27138
2001-07-06,26431
2001-07-10,26610
2001-07-11,25902
2001-07-12,24443
2001-07-13,23567
2001-07-16,23107
2001-07-17,23221
2001-07-18,23052
2001-07-19,23051
2001-07-20,22843
2001-07-23,22724
2001-07-24,22638
2001-07-25,22311
2001-07-26,22264
2001-07-27,21108
2001-07-30,20929
2001-07-31,20257
2001-08-01,19882
2001-08-02,19396
2001-08-03,18935
2001-08-06,18759
2001-08-07,19059
2001-08-08,18950
